127 1.05978 0.447722 3.32389
128 1.1648 0.550405 3.33155
129 2.14563 0.546223 3.33063
255 2.01931 0.523704 3.53602
256 10.6502 0.383305 2.31642
257 1.71492 0.434444 3.55978
383 5.32465 0.422469 3.60347
384 3.75283 0.392003 3.58868
385 4.92064 0.454632 1.58168
511 6.80494 0.427543 3.61257
512 2.96307 0.489719 1.60346
513 2.25249 0.470529 3.61286
639 2.39995 0.475713 2.66177
640 3.03099 0.466694 1.87529
641 2.70534 0.334088 2.75289
767 5.89087 0.391454 3.6064
768 1.98416 0.353495 1.45511
769 3.65205 0.361259 3.62679
895 1.62059 0.434067 1.10969
896 13.3221 0.495367 3.63368
897 1.46023 0.492278 3.61092
1023 4.31126 0.487539 3.54361
1024 3.96354 0.374329 3.60852
1025 2.21328 0.318487 3.58666
